name,taxid,preferred name,phylum,class,order,family,genus
Bartonella henselae,38323, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella
Lactobacillus fermentum,1613,Limosilactobacillus fermentum,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Vibrio alginolyticus,663, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Clostridium butyricum,1492, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Cronobacter malonaticus,413503, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
Anaplasma phagocytophilum,948, ,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
Alteromonas macleodii,28108, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Clostridium bolteae,208479,Enterocloster bolteae,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster
Bacteroides xylanisolvens,371601, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Xanthomonas oryzae,347, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas
Xanthomonas arboricola,56448, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas
Shewanella baltica,62322, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Serratia plymuthica,82996, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
Streptomyces globisporus,1908, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Bradyrhizobium japonicum,375, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium
Leptospira weilii,28184, ,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Gardnerella vaginalis,2702, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella
Enterobacter asburiae,61645, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
Delftia acidovorans,80866, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
Wolbachia endosymbiont,2640676,unclassified Wolbachia,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia
Clostridium clostridioforme,1531,Enterocloster clostridioformis,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster
Ehrlichia chaffeensis,945, ,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia
Campylobacter fetus,196, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Buchnera aphidicola,9, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera
Staphylococcus lugdunensis,28035, ,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Proteus mirabilis,584, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus
Lactobacillus gasseri,1596, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Vibrio harveyi,669, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Sinorhizobium fredii,380, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium
Lactococcus garvieae,1363, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Lactobacillus salivarius,1624,Ligilactobacillus salivarius,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Planktothrix agardhii,1160, ,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix
Burkholderia multivorans,87883, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Vibrio splendidus,29497, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Acinetobacter haemolyticus,29430, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Aeromonas salmonicida,645, ,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Acinetobacter calcoaceticus,471, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Vibrio mimicus,674, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Streptococcus equi,1336, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Lactobacillus reuteri,1598,Limosilactobacillus reuteri,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Pseudomonas brassicacearum,930166, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Streptococcus anginosus,1328, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Streptococcus salivarius,1304, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Acinetobacter parvus,134533, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Clostridium tetani,1513, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Capnocytophaga ochracea,1018, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Myroides odoratimimus,76832, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides
Rhodococcus opacus,37919, ,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus
Streptococcus dysgalactiae,1334, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Corynebacterium accolens,38284, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Dickeya solani,1089444, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya
Bordetella hinzii,103855, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
Clostridium tyrobutyricum,1519, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Streptomyces albus,1888, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
[Kitasatospora] papulosa,1464011, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Dehalococcoides mccartyi,61435, ,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides
Bifidobacterium bifidum,1681, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Providencia alcalifaciens,126385, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia
Mycobacterium marinum,1781, ,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
Erysipelotrichaceae bacterium,2049044, ,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,na
Propionibacterium avidum,33010,Cutibacterium avidum,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium
Clostridium novyi,1542, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Leuconostoc mesenteroides,1245, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
Streptococcus intermedius,1338, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Agrobacterium rhizogenes,359,Rhizobium rhizogenes,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium
Staphylococcus haemolyticus,1283, ,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Bacteroides uniformis,820, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Morganella morganii,582, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella
Acinetobacter junii,40215, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Xanthomonas campestris,339, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas
Rhodobacter capsulatus,1061, ,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,na,Rhodobacter
Raoultella planticola,575, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella
Pseudoalteromonas haloplanktis,228, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
Streptococcus equinus,1335, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Streptomyces flaveolus,67297, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Bifidobacterium thermacidophilum,246618, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Paenibacillus polymyxa,1406, ,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Pseudomonas chlororaphis,587753, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Helicobacter bilis,37372, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Prochlorococcus marinus,1219, ,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus
Pelosinus fermentans,365349, ,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus
Clostridium thermocellum,1515,Acetivibrio thermocellus,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio
Edwardsiella tarda,636, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
Candidatus Arthromitus,49082, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,na
Sinorhizobium medicae,110321, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium
Streptococcus parauberis,1348, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Leuconostoc citreum,33964, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
Bifidobacterium dentium,1689, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Xanthomonas perforans,442694, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas
Corynebacterium ulcerans,65058, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
