
code	|	name	|	preferred name	|	taxid
1	|	Vibrio owensii	|	 	|	696485
1	|	Leptospira noguchii	|	 	|	28182
1	|	Bacillus licheniformis	|	 	|	1402
1	|	Bacteroides ovatus	|	 	|	28116
1	|	Rhodococcus erythropolis	|	 	|	1833
1	|	Pantoea ananatis	|	 	|	553
1	|	Streptococcus thermophilus	|	 	|	1308
1	|	Lactobacillus brevis	|	Levilactobacillus brevis	|	1580
1	|	Pseudomonas monteilii	|	 	|	76759
1	|	Streptococcus gallolyticus	|	 	|	315405
1	|	Vibrio jasicida	|	 	|	766224
1	|	Xenorhabdus bovienii	|	 	|	40576
1	|	Aeromonas veronii	|	 	|	654
1	|	Bartonella henselae	|	 	|	38323
1	|	Lactobacillus fermentum	|	Limosilactobacillus fermentum	|	1613
1	|	Vibrio alginolyticus	|	 	|	663
1	|	Clostridium butyricum	|	 	|	1492
1	|	Cronobacter malonaticus	|	 	|	413503
1	|	Anaplasma phagocytophilum	|	 	|	948
1	|	Alteromonas macleodii	|	 	|	28108
1	|	Clostridium bolteae	|	Enterocloster bolteae	|	208479
1	|	Bacteroides xylanisolvens	|	 	|	371601
1	|	Xanthomonas oryzae	|	 	|	347
1	|	Xanthomonas arboricola	|	 	|	56448
1	|	Shewanella baltica	|	 	|	62322
1	|	Serratia plymuthica	|	 	|	82996
1	|	Streptomyces globisporus	|	 	|	1908
1	|	Bradyrhizobium japonicum	|	 	|	375
1	|	Colwellia sp.	|	 	|	56799
1	|	Leptospira weilii	|	 	|	28184
1	|	Gardnerella vaginalis	|	 	|	2702
1	|	Enterobacter asburiae	|	 	|	61645
1	|	Delftia acidovorans	|	 	|	80866
3	|	Wolbachia endosymbiont	|	 	|	 
1	|	Clostridium clostridioforme	|	Enterocloster clostridioformis	|	1531
1	|	Ehrlichia chaffeensis	|	 	|	945
1	|	Campylobacter fetus	|	 	|	196
1	|	Buchnera aphidicola	|	 	|	9
1	|	Staphylococcus lugdunensis	|	 	|	28035
1	|	Proteus mirabilis	|	 	|	584
1	|	Lactobacillus gasseri	|	 	|	1596
1	|	Vibrio harveyi	|	 	|	669
1	|	Sinorhizobium fredii	|	 	|	380
1	|	Lactococcus garvieae	|	 	|	1363
1	|	Lactobacillus salivarius	|	Ligilactobacillus salivarius	|	1624
1	|	Planktothrix agardhii	|	 	|	1160
1	|	Burkholderia multivorans	|	 	|	87883
1	|	Vibrio splendidus	|	 	|	29497
1	|	Acinetobacter haemolyticus	|	 	|	29430
1	|	Aeromonas salmonicida	|	 	|	645
1	|	Acinetobacter calcoaceticus	|	 	|	471
1	|	Vibrio mimicus	|	 	|	674
1	|	Streptococcus equi	|	 	|	1336
1	|	Lactobacillus reuteri	|	Limosilactobacillus reuteri	|	1598
1	|	Pseudomonas brassicacearum	|	 	|	930166
1	|	Streptococcus anginosus	|	 	|	1328
1	|	Streptococcus salivarius	|	 	|	1304
1	|	Acinetobacter parvus	|	 	|	134533
1	|	Clostridium tetani	|	 	|	1513
1	|	Capnocytophaga ochracea	|	 	|	1018
1	|	Myroides odoratimimus	|	 	|	76832
1	|	Rhodococcus opacus	|	 	|	37919
1	|	Streptococcus dysgalactiae	|	 	|	1334
1	|	Corynebacterium accolens	|	 	|	38284
1	|	Dickeya solani	|	 	|	1089444
1	|	Bordetella hinzii	|	 	|	103855
1	|	Clostridium tyrobutyricum	|	 	|	1519
1	|	Streptomyces albus	|	 	|	1888
1	|	[Kitasatospora] papulosa	|	 	|	1464011
1	|	Dehalococcoides mccartyi	|	 	|	61435
1	|	Bifidobacterium bifidum	|	 	|	1681
1	|	Providencia alcalifaciens	|	 	|	126385
1	|	Mycobacterium marinum	|	 	|	1781
1	|	Erysipelotrichaceae bacterium	|	 	|	2049044
1	|	Propionibacterium avidum	|	Cutibacterium avidum	|	33010
1	|	Clostridium novyi	|	 	|	1542
1	|	Leuconostoc mesenteroides	|	 	|	1245
1	|	Streptococcus intermedius	|	 	|	1338
1	|	Agrobacterium rhizogenes	|	 	|	359
1	|	Staphylococcus haemolyticus	|	 	|	1283
1	|	Bacteroides uniformis	|	 	|	820
1	|	Morganella morganii	|	 	|	582
1	|	Acinetobacter junii	|	 	|	40215
1	|	Xanthomonas campestris	|	 	|	339
1	|	Rhodobacter capsulatus	|	 	|	1061
1	|	Raoultella planticola	|	 	|	575
1	|	Pseudoalteromonas haloplanktis	|	 	|	228
1	|	Streptococcus equinus	|	 	|	1335
1	|	Streptomyces flaveolus	|	 	|	67297
1	|	Bifidobacterium thermacidophilum	|	 	|	246618
1	|	Paenibacillus polymyxa	|	 	|	1406
1	|	Pseudomonas chlororaphis	|	 	|	587753
1	|	Helicobacter bilis	|	 	|	37372
1	|	Afipia sp.	|	 	|	1871052
1	|	Prochlorococcus marinus	|	 	|	1219
1	|	Pelosinus fermentans	|	 	|	365349
1	|	Clostridium thermocellum	|	Acetivibrio thermocellus	|	1515
1	|	Edwardsiella tarda	|	 	|	636
1	|	Frankia sp.	|	 	|	1855
1	|	Candidatus Arthromitus	|	 	|	49082
1	|	Sinorhizobium medicae	|	 	|	110321
1	|	Streptococcus parauberis	|	 	|	1348
1	|	Leuconostoc citreum	|	 	|	33964
1	|	Bifidobacterium dentium	|	 	|	1689
1	|	Xanthomonas perforans	|	 	|	442694
1	|	Corynebacterium ulcerans	|	 	|	65058
1	|	Treponema pedis	|	 	|	409322
1	|	Borrelia crocidurae	|	 	|	29520
1	|	Clostridium beijerinckii	|	 	|	1520
1	|	Enterococcus casseliflavus	|	 	|	37734
1	|	Ralstonia pickettii	|	 	|	329
1	|	Streptomyces sp.	|	 	|	1931
1	|	Bifidobacterium adolescentis	|	 	|	1680
1	|	Stenotrophomonas maltophilia	|	 	|	40324
1	|	Francisella philomiragia	|	 	|	28110
1	|	Pantoea agglomerans	|	 	|	549
1	|	Aeromonas caviae	|	 	|	648
1	|	Vibrio fluvialis	|	 	|	676
1	|	Pediococcus acidilactici	|	 	|	1254
1	|	Butyrivibrio fibrisolvens	|	 	|	831
1	|	Pseudomonas stutzeri	|	Stutzerimonas stutzeri	|	316
1	|	Zymomonas mobilis	|	 	|	542
1	|	Phaeobacter gallaeciensis	|	 	|	60890
1	|	Vibrio nigripulchritudo	|	 	|	28173
1	|	Pectobacterium carotovorum	|	 	|	554
1	|	Pseudomonas umsongensis	|	 	|	198618
1	|	Vibrio coralliilyticus	|	 	|	190893
1	|	Thermus thermophilus	|	 	|	274
1	|	Staphylococcus warneri	|	 	|	1292
1	|	Piscirickettsia salmonis	|	 	|	1238
1	|	Streptococcus sanguinis	|	 	|	1305
1	|	Veillonella atypica	|	 	|	39777
1	|	Acinetobacter johnsonii	|	 	|	40214
1	|	Acinetobacter sp.	|	 	|	472
1	|	Bradyrhizobium elkanii	|	 	|	29448
1	|	Rhizobium leguminosarum	|	 	|	384
1	|	Corynebacterium sp.	|	 	|	1720
1	|	Streptococcus iniae	|	 	|	1346
1	|	Bartonella birtlesii	|	 	|	111504
1	|	Dickeya dianthicola	|	 	|	204039
1	|	Clostridiales bacterium	|	 	|	1898207
1	|	Acidaminococcus intestini	|	 	|	187327
1	|	Chlamydophila pneumoniae	|	Chlamydia pneumoniae	|	83558
1	|	Riemerella anatipestifer	|	 	|	34085
1	|	Prevotella sp.	|	 	|	59823
1	|	Prevotella bivia	|	 	|	28125
1	|	Staphylococcus capitis	|	 	|	29388
1	|	Citrobacter braakii	|	 	|	57706
1	|	Escherichia albertii	|	 	|	208962
1	|	Acinetobacter bereziniae	|	 	|	106648
1	|	Prevotella denticola	|	 	|	28129
1	|	Agrobacterium sp.	|	 	|	361
1	|	Pseudomonas fuscovaginae	|	 	|	50340
2	|	Sphingobium japonicum	|	Sphingobium indicum	|	332055
1	|	Staphylococcus hominis	|	 	|	1290
1	|	Pseudomonas oleovorans	|	 	|	301
1	|	Candidatus Pelagibacter	|	 	|	198251
1	|	Cronobacter dublinensis	|	 	|	413497
1	|	Teredinibacter turnerae	|	 	|	2426
1	|	Porphyromonas macacae	|	 	|	28115
1	|	Cellulophaga baltica	|	 	|	76594
1	|	Finegoldia magna	|	 	|	1260
1	|	Rhodobacter sphaeroides	|	Cereibacter sphaeroides	|	1063
1	|	Ochrobactrum intermedium	|	Brucella intermedia	|	94625
1	|	Acinetobacter schindleri	|	 	|	108981
1	|	Vibrio sinaloensis	|	 	|	379097
1	|	Vibrio crassostreae	|	 	|	246167
1	|	Methylobacterium extorquens	|	Methylorubrum extorquens	|	408
1	|	Lactobacillus johnsonii	|	 	|	33959
1	|	Enterococcus mundtii	|	 	|	53346
1	|	Desulfitobacterium hafniense	|	 	|	49338
1	|	Thermotoga sp.	|	 	|	28240
3	|	Lebetimonas sp.	|	 	|	 
1	|	Veillonella parvula	|	 	|	29466
1	|	Dickeya chrysanthemi	|	 	|	556
2	|	Marinobacter hydrocarbonoclasticus	|	Marinobacter nauticus	|	2743
1	|	Pseudomonas fulva	|	 	|	47880
1	|	Fusobacterium periodonticum	|	 	|	860
1	|	Clostridium sporogenes	|	 	|	1509
1	|	Pseudoalteromonas piscicida	|	 	|	43662
1	|	Bacteroides cellulosilyticus	|	 	|	246787
3	|	Achromobacter undefined	|	 	|	 
1	|	Bacteroides pyogenes	|	 	|	310300
1	|	Xanthomonas sacchari	|	 	|	56458
1	|	Synechocystis sp.	|	 	|	1143
1	|	Leptospira licerasiae	|	 	|	447106
1	|	Hydrogenobaculum sp.	|	 	|	2053560
1	|	Mycobacterium smegmatis	|	Mycolicibacterium smegmatis	|	1772
3	|	Candidatus Liberibacter	|	 	|	 
1	|	Weissella ceti	|	 	|	759620
1	|	Streptococcus constellatus	|	 	|	76860
1	|	Lachnospiraceae bacterium	|	 	|	1898203
1	|	Enterococcus gallinarum	|	 	|	1353
1	|	Porphyromonas crevioricanis	|	 	|	393921
1	|	Xenorhabdus nematophila	|	 	|	628
1	|	Geobacillus thermoglucosidasius	|	Parageobacillus thermoglucosidasius	|	1426
1	|	Brevibacillus borstelensis	|	 	|	45462
1	|	Pandoraea pnomenusa	|	 	|	93220
1	|	Clostridium symbiosum	|	[Clostridium] symbiosum	|	1512
1	|	Borrelia afzelii	|	Borreliella afzelii	|	29518
1	|	Brevibacillus agri	|	 	|	51101
1	|	Chlamydia pecorum	|	 	|	85991
1	|	Streptomyces aureofaciens	|	Kitasatospora aureofaciens	|	1894
1	|	Streptomyces griseolus	|	 	|	1909
1	|	Staphylococcus saprophyticus	|	 	|	29385
1	|	Bacteroides sartorii	|	Phocaeicola sartorii	|	671267
1	|	Pantoea stewartii	|	 	|	66269
1	|	Rhodococcus pyridinivorans	|	 	|	103816
1	|	Cycloclasticus pugetii	|	 	|	34068
1	|	Mycobacterium kansasii	|	 	|	1768
1	|	Enterococcus hirae	|	 	|	1354
1	|	butyrate-producing bacterium	|	 	|	2811711
1	|	Bacillus coagulans	|	Weizmannia coagulans	|	1398
1	|	Sphingomonas wittichii	|	Rhizorhabdus wittichii	|	160791
1	|	Acidiphilium multivorum	|	 	|	62140
1	|	Corynebacterium pseudodiphtheriticum	|	 	|	37637
1	|	Mobiluncus mulieris	|	 	|	2052
1	|	Pediococcus pentosaceus	|	 	|	1255
3	|	Vibrio genomosp.	|	 	|	 
1	|	Pseudomonas protegens	|	 	|	380021
1	|	Staphylococcus schleiferi	|	 	|	1295
1	|	Rickettsia tamurae	|	 	|	334545
1	|	Achromobacter xylosoxidans	|	 	|	85698
1	|	Prevotella amnii	|	 	|	419005
1	|	Nitrosococcus oceani	|	 	|	1229
1	|	Photorhabdus luminescens	|	 	|	29488
1	|	Eggerthella lenta	|	 	|	84112
1	|	Clostridium acetobutylicum	|	 	|	1488
1	|	Bifidobacterium indicum	|	 	|	1691
1	|	Halomonas titanicae	|	 	|	664683
1	|	Burkholderia gladioli	|	 	|	28095
1	|	Streptomyces lavendulae	|	 	|	1914
1	|	Shewanella putrefaciens	|	 	|	24
1	|	Pseudoalteromonas marina	|	 	|	267375
1	|	Dickeya zeae	|	 	|	204042
1	|	Pseudoalteromonas citrea	|	 	|	43655
1	|	Yersinia ruckeri	|	 	|	29486
1	|	Bacteroides thetaiotaomicron	|	 	|	818
1	|	Brachyspira pilosicoli	|	 	|	52584
1	|	Peptoniphilus lacrimalis	|	 	|	33031
1	|	Lactobacillus ruminis	|	Ligilactobacillus ruminis	|	1623
1	|	Prevotella oris	|	 	|	28135
1	|	Afipia broomeae	|	 	|	56946
1	|	Bifidobacterium gallinarum	|	Bifidobacterium pullorum subsp. gallinarum	|	78344
1	|	Clostridium bifermentans	|	Paraclostridium bifermentans	|	1490
1	|	Anoxybacillus ayderensis	|	 	|	265546
1	|	Brevibacillus laterosporus	|	 	|	1465
1	|	Vibrio navarrensis	|	 	|	29495
1	|	Rothia aeria	|	 	|	172042
1	|	Vibrio tasmaniensis	|	 	|	212663
1	|	Thermotoga maritima	|	 	|	2336
1	|	Acinetobacter ursingii	|	 	|	108980
1	|	Gluconobacter thailandicus	|	 	|	257438
1	|	Rhodopirellula baltica	|	 	|	265606
1	|	Pseudomonas viridiflava	|	 	|	33069
1	|	Thermus scotoductus	|	 	|	37636
1	|	Arcobacter butzleri	|	Aliarcobacter butzleri	|	28197
1	|	Granulibacter bethesdensis	|	 	|	364410
1	|	Acinetobacter guillouiae	|	 	|	106649
1	|	Ruminococcus gnavus	|	[Ruminococcus] gnavus	|	33038
1	|	Bibersteinia trehalosi	|	 	|	47735
1	|	Rhizobium etli	|	 	|	29449
1	|	Sulfitobacter pontiacus	|	 	|	60137
1	|	Streptococcus oralis	|	 	|	1303
2	|	Ralstonia eutropha	|	Cupriavidus necator	|	106590
1	|	Porphyromonas canoris	|	 	|	36875
1	|	Pseudomonas chloritidismutans	|	Stutzerimonas chloritidismutans	|	203192
1	|	Selenomonas artemidis	|	 	|	671224
1	|	Acinetobacter oleivorans	|	 	|	1148157
1	|	Dickeya dadantii	|	 	|	204038
1	|	Streptomyces virginiae	|	 	|	1961
1	|	Paracoccus sp.	|	 	|	267
1	|	Nocardia brasiliensis	|	 	|	37326
1	|	Prevotella melaninogenica	|	 	|	28132
1	|	Lysinibacillus fusiformis	|	 	|	28031
1	|	Serratia fonticola	|	 	|	47917
1	|	Capnocytophaga cynodegmi	|	 	|	28189
1	|	Borrelia hermsii	|	 	|	140
1	|	Neisseria sicca	|	 	|	490
1	|	Vibrio fischeri	|	Aliivibrio fischeri	|	668
1	|	Prevotella timonensis	|	 	|	386414
1	|	Clostridium scindens	|	[Clostridium] scindens	|	29347
1	|	Rhodococcus ruber	|	 	|	1830
1	|	Mesorhizobium australicum	|	 	|	536018
1	|	Streptomyces griseorubens	|	 	|	66897
1	|	Micromonospora aurantiaca	|	 	|	47850
1	|	Dehalobacter sp.	|	 	|	1962289
1	|	Bifidobacterium catenulatum	|	 	|	1686
1	|	Rickettsia felis	|	 	|	42862
1	|	Streptomyces ruber	|	 	|	83378
1	|	Streptomyces bikiniensis	|	 	|	1896
1	|	Azotobacter vinelandii	|	 	|	354
1	|	Streptococcus tigurinus	|	Streptococcus oralis subsp. tigurinus	|	1077464
1	|	Citrobacter rodentium	|	 	|	67825
1	|	Pectobacterium wasabiae	|	 	|	55208
1	|	Chryseobacterium sp.	|	 	|	1871047
1	|	Enterococcus columbae	|	 	|	1355
1	|	Enterococcus cecorum	|	 	|	44008
1	|	Bacteroides massiliensis	|	Phocaeicola massiliensis	|	204516
1	|	Acinetobacter gerneri	|	 	|	202952
3	|	candidate division	|	 	|	 
1	|	Oligotropha carboxidovorans	|	Afipia carboxidovorans	|	40137
1	|	Rickettsia typhi	|	 	|	785
1	|	Deinococcus radiodurans	|	 	|	1299
1	|	Halobacillus trueperi	|	 	|	156205
1	|	Acinetobacter baylyi	|	 	|	202950
1	|	Sulfobacillus acidophilus	|	 	|	53633
1	|	Lachnoclostridium phytofermentans	|	 	|	66219
1	|	Sphingomonas melonis	|	 	|	152682
1	|	Amycolatopsis mediterranei	|	 	|	33910
1	|	Saccharopolyspora erythraea	|	 	|	1836
1	|	Ornithobacterium rhinotracheale	|	 	|	28251
1	|	Prevotella micans	|	 	|	189723
1	|	Paenibacillus darwinianus	|	 	|	1380763
1	|	Lactobacillus casei	|	Lacticaseibacillus casei	|	1582
1	|	Listeria ivanovii	|	 	|	1638
1	|	Psychrobacter sp.	|	 	|	56811
1	|	Jejuia pallidilutea	|	 	|	504487
1	|	Lactobacillus jensenii	|	 	|	109790
1	|	Synechococcus elongatus	|	 	|	32046
1	|	Pseudomonas plecoglossicida	|	 	|	70775
1	|	Leuconostoc pseudomesenteroides	|	 	|	33968
1	|	Paenibacillus larvae	|	 	|	1464
1	|	Enterococcus durans	|	 	|	53345
1	|	Bartonella vinsonii	|	 	|	33047
1	|	Streptomyces gancidicus	|	 	|	68204
1	|	Lachnobacterium bovis	|	 	|	140626
1	|	Thermotoga elfii	|	Pseudothermotoga elfii	|	38322
1	|	Parachlamydia acanthamoebae	|	 	|	83552
1	|	Clostridium methoxybenzovorans	|	[Clostridium] methoxybenzovorans	|	81424
1	|	Clostridium autoethanogenum	|	 	|	84023
1	|	Thermotoga neapolitana	|	 	|	2337
1	|	Streptomyces lividans	|	 	|	1916
1	|	Staphylococcus pseudintermedius	|	 	|	283734
1	|	Providencia stuartii	|	 	|	588
1	|	Bacillaceae bacterium	|	 	|	1889774
1	|	Burkholderia mimosarum	|	Paraburkholderia mimosarum	|	312026
1	|	Geobacillus thermodenitrificans	|	 	|	33940
1	|	Burkholderia glumae	|	 	|	337
1	|	Tetragenococcus muriaticus	|	 	|	64642
1	|	Bartonella elizabethae	|	 	|	807
1	|	Thauera aminoaromatica	|	 	|	164330
1	|	Pseudomonas simiae	|	 	|	321846
1	|	Carnobacterium maltaromaticum	|	 	|	2751
1	|	Nocardiopsis alba	|	 	|	53437
1	|	Burkholderia vietnamiensis	|	 	|	60552
1	|	Kandleria vitulina	|	 	|	1630
1	|	Citrobacter amalonaticus	|	 	|	35703
1	|	Staphylococcus equorum	|	 	|	246432
1	|	Jonquetella anthropi	|	 	|	428712
1	|	Mycobacterium xenopi	|	 	|	1789
1	|	Methylobacterium radiotolerans	|	 	|	31998
1	|	Enterovibrio norvegicus	|	 	|	188144
1	|	Oscillospiraceae bacterium	|	 	|	2485925
1	|	Rhodococcus equi	|	 	|	43767
1	|	Meiothermus ruber	|	 	|	277
1	|	Mycobacterium sp.	|	 	|	1785
1	|	Rahnella aquatilis	|	 	|	34038
1	|	Peptostreptococcus anaerobius	|	 	|	1261
1	|	Photorhabdus temperata	|	 	|	574560
1	|	Arcobacter sp.	|	 	|	1872629
1	|	Paenibacillus mucilaginosus	|	 	|	61624
1	|	Anoxybacillus kamchatkensis	|	 	|	196180
1	|	Cellulophaga lytica	|	 	|	979
1	|	Parascardovia denticolens	|	 	|	78258
1	|	Burkholderia phenoliruptrix	|	Paraburkholderia phenoliruptrix	|	252970
1	|	Salinivibrio sp.	|	 	|	1886796
1	|	Salmonella bongori	|	 	|	54736
1	|	Xanthomonas vesicatoria	|	 	|	56460
1	|	Fusobacterium ulcerans	|	 	|	861
1	|	Clostridium hathewayi	|	Hungatella hathewayi	|	154046
1	|	Exiguobacterium aurantiacum	|	 	|	33987
1	|	Ehrlichia ruminantium	|	 	|	779
1	|	Bacteroides nordii	|	 	|	291645
1	|	Enterovibrio calviensis	|	 	|	91359
1	|	Lactobacillus amylovorus	|	 	|	1604
1	|	Methylibium petroleiphilum	|	 	|	105560
1	|	Methylobacter marinus	|	 	|	34058
2	|	Pseudomonas tuomuerensis	|	Pseudomonas flexibilis	|	706570
1	|	Mycobacterium neoaurum	|	Mycolicibacterium neoaurum	|	1795
1	|	Prevotella buccae	|	 	|	28126
1	|	Gordonia alkanivorans	|	 	|	84096
1	|	Blautia wexlerae	|	 	|	418240
1	|	Acinetobacter soli	|	 	|	487316
1	|	Microbacterium maritypicum	|	 	|	300020
1	|	Roseburia intestinalis	|	 	|	166486
1	|	Gordonia polyisoprenivorans	|	 	|	84595
1	|	Acinetobacter gyllenbergii	|	 	|	134534
1	|	Listeria innocua	|	 	|	1642
1	|	Blautia producta	|	 	|	33035
1	|	Dorea formicigenerans	|	 	|	39486
1	|	Rhodanobacter sp.	|	 	|	1883446
1	|	Agrobacterium tumefaciens	|	 	|	358
1	|	Capnocytophaga canimorsus	|	 	|	28188
1	|	Prevotella disiens	|	 	|	28130
1	|	Caldicellulosiruptor acetigenus	|	 	|	301953
1	|	Glaciecola agarilytica	|	Paraglaciecola agarilytica	|	395568
1	|	Propionimicrobium lymphophilum	|	 	|	33012
1	|	Thermoanaerobacter italicus	|	 	|	108150
1	|	Candidatus Protochlamydia	|	 	|	282132
1	|	Nonlabens ulvanivorans	|	 	|	906888
1	|	Vibrio natriegens	|	 	|	691
1	|	Mesorhizobium ciceri	|	 	|	39645
1	|	Thioalkalivibrio thiocyanoxidans	|	 	|	152475
1	|	Prevotella baroniae	|	 	|	305719
1	|	Taylorella asinigenitalis	|	 	|	84590
